Book_page,Year,Site,Nest_ID,Species,Observer,Date_found,how_found,Clutch_max,floatAge,ageMethod
,2011,chur,11churwhim18,whim,HMS,2011-06-27,searcher,1,2,float
,2012,chur,12chur12amgp01w,amgp,jperz,2012-06-05,searcher,2,,hatch
,2012,chur,12chur12amgp02w,amgp,ajohnson,2012-06-09,searcher,4,5,float
,2012,chur,12chur12amgp07d,amgp,fsanders,2012-06-23,searcher,4,,
,2012,chur,12chur12amgp08d,amgp,clahoda,2012-07-03,searcher,2,0,float
,2012,chur,12chur12amgp09d,amgp,clahoda,2012-07-04,searcher,4,16,float
,2012,chur,12chur12du05d,dunl,lmckinnon,2012-06-10,searcher,4,6,float
,2012,chur,12chur12du05w,dunl,jperz,2012-06-12,searcher,4,,
,2012,chur,12chur12du08w,dunl,ajohnson,2012-06-25,searcher,4,20,float
,2012,chur,12chur12du20d,dunl,clahoda,2012-07-02,searcher,,,hatch
,2012,chur,12chur12hugo01d,hugo,lmckinnon,2012-06-03,searcher,3,,
,2012,chur,12chur12hugo02d,hugo,lmkinnon,2012-06-19,searcher,4,,
,2012,chur,12chur12hugo03w,hugo,ajohnson,2012-06-13,searcher,1,0,float
,2012,chur,12chur12hugo04d,hugo,fsanders,2012-06-22,searcher,4,3,float
,2012,chur,12chur12hugo04w,hugo,ajohnson,2012-06-21,searcher,4,15,float
,2012,chur,12chur12hugo05w,hugo,ajohnson,2012-06-22,searcher,2,,lay
,2012,chur,12chur12hugo06w,hugo,ajohnson,2012-06-22,searcher,4,14,float
,2012,chur,12chur12hugo07w,hugo,jperz,2012-07-01,searcher,4,18,float
,2012,chur,12chur12lesa01d,lesa,lmckinnon,2012-06-10,searcher,3,,lay
,2012,chur,12chur12lesa01s,lesa,dgough,2012-06-26,searcher,5,,hatch
,2012,chur,12chur12lesa02d,lesa,acorkery,2012-06-10,searcher,4,,
,2012,chur,12chur12lesa03d,lesa,lmckinnon,2012-06-16,searcher,4,1,float
,2012,chur,12chur12lesa03w,lesa,ajohnson,2012-06-15,searcher,4,,
,2012,chur,12chur12lesa04d,lesa,clahoda,2012-06-20,searcher,4,,
,2012,chur,12chur12lesa04w,lesa,ajohnson,2012-06-17,searcher,4,,
,2012,chur,12chur12lesa05d,lesa,clahoda,2012-06-20,searcher,4,20,float
,2012,chur,12chur12lesa06d,lesa,clahoda,2012-06-20,searcher,4,14,float
,2012,chur,12chur12lesa07d,lesa,clahoda,2012-06-27,searcher,4,,hatch
,2012,chur,12chur12lesa07w,lesa,ajohnson,2012-06-22,searcher,4,10,float
,2012,chur,12chur12lesa08d,lesa,fsanders,2012-06-29,searcher,4,13,float
,2012,chur,12chur12lesa08w,lesa,jperz,2012-06-25,searcher,4,9,float
,2012,chur,12chur12lesa09d,lesa,clahoda,2012-07-03,searcher,3,,hatch
,2012,chur,12chur12leye01d,leye,clahoda,2012-07-04,searcher,4,14,float
,2012,chur,12chur12leye02d,leye,clahoda,2012-07-06,searcher,,,hatch
,2012,chur,12chur12rnph01d,rnph,dgough,2012-07-16,searcher,4,,hatch
,2012,chur,12chur12sbdo01d,sbdo,lmckinnon,2012-06-06,searcher,4,,
,2012,chur,12chur12sbdo01w,sbdo,ajohnson,2012-06-04,searcher,4,,
,2012,chur,12chur12sbdo02d,sbdo,lmkinnon,2012-06-06,searcher,4,,
,2012,chur,12chur12sbdo02w,sbdo,ajohnson,2012-06-07,searcher,3,,lay
,2012,chur,12chur12sbdo03d,sbdo,lmkinnon,2012-06-08,searcher,4,1,float
,2012,chur,12chur12sbdo03w,sbdo,ajohnson,2012-06-10,searcher,4,,
,2012,chur,12chur12sbdo04d,sbdo,jg,2012-06-16,searcher,4,11,float
,2012,chur,12chur12sbdo05d,sbdo,lmckinnon,2012-06-16,searcher,4,1,float
,2012,chur,12chur12sbdo05w,sbdo,ajohnson,2012-06-24,searcher,4,,
,2012,chur,12chur12sbdo06d,sbdo,fsanders,2012-06-26,searcher,4,16,float
,2012,chur,12chur12sbdo07d,sbdo,enol,2012-06-14,searcher,4,,
,2012,chur,12chur12stsa01d,stsa,lmckinnon,2012-06-15,searcher,3,2,float
,2012,chur,12chur12stsa02d,stsa,jg,2012-06-16,searcher,4,11,float
,2012,chur,12chur12stsa03d,stsa,ajohnson,2012-06-07,searcher,2,,
1.07,2012,chur,12chur12whim07,whim,acorkery,2012-06-08,searcher,3,,lay
1.08,2012,chur,12chur12whim08,whim,acorkery,2012-06-08,searcher,3,,lay
1.1,2012,chur,12chur12whim10,whim,ajohnson,2012-06-09,searcher,4,,
1.11,2012,chur,12chur12whim11,whim,ajohnson,2012-06-10,searcher,4,11,float
1.15,2012,chur,12chur12whim15,whim,ajohnson,2012-06-12,searcher,4,,
1.23,2012,chur,12chur12whim23,whim,ajohnson,2012-06-19,searcher,3,2,float
1.26,2012,chur,12chur12whim26,whim,ajohnson,2012-06-20,searcher,3,4,float
1.29,2012,chur,12chur12whim29,whim,ajohnson,2012-06-21,searcher,3,1,float
1.36,2012,chur,12chur12whim36,whim,ajohnson,2012-06-25,searcher,2,18,float
1.37,2012,chur,12chur12whim37,whim,ajohnson,2012-06-26,searcher,3,10,float
1.4,2012,chur,12chur12whim40,whim,ajohnson,2012-06-28,searcher,4,22,float
1.41,2012,chur,12chur12whim41,whim,ajohnson,2012-06-29,searcher,1,24,float
1.45,2012,chur,12chur12whim45,whim,ajohnson,2012-07-01,searcher,4,,hatch
1.46,2012,chur,12chur12whim46,whim,ajohnson,2012-07-01,searcher,4,4,float
1.48,2012,chur,12chur12whim48,whim,ajohnson,2012-07-03,searcher,3,,hatch
1.49,2012,chur,12chur12whim49,whim,ajohnson,2012-07-04,searcher,4,23,float
1.51,2012,chur,12chur12whim51,whim,gmontgomery,2012-07-09,searcher,3,21,float
1.52,2012,chur,12chur12whim52,whim,ajohnson,2012-07-13,searcher,4,,hatch
1.53,2012,chur,12chur12whim53,whim,ajohnson,2012-07-13,searcher,3,,hatch
,2012,chur,12chur12wisn01w,wisn,ajohnson,2012-06-07,searcher,4,,
,2012,chur,12chur1amgpp04d,amgp,clahoda,2012-06-17,searcher,4,1,float
,2013,chur,13chur13amgp04w,amgp,ajohnson,2013-06-19,searcher,4,3,float
,2013,chur,13chur13amgp06w,amgp,ajohnson,2013-06-24,searcher,4,13,float
,2013,chur,13chur13hugo01d,hugo,lkoloski,2013-06-05,searcher,4,0,float
,2013,chur,13chur13hugo02w,hugo,ajonhson,2013-06-04,searcher,1,,lay
,2013,chur,13chur13hugo03w,hugo,ajohnson,2013-06-06,searcher,3,,lay
,2013,chur,13chur13hugo04w,hugo,ajohnson,2013-06-12,searcher,4,6,float
,2013,chur,13chur13hugo06d,hugo,lkoloski,2013-06-10,searcher,4,,
,2013,chur,13chur13hugo06w,hugo,ajohnson,2013-06-17,searcher,,,
,2013,chur,13chur13hugo07w,hugo,enol,2013-06-24,searcher,4,15,float
,2013,chur,13chur13hugo201,hugo,fsanders,2013-06-15,searcher,2,2,float
,2013,chur,13chur13lesa02w,lesa,ajohnson,2013-06-14,searcher,4,,
,2013,chur,13chur13lesa03d,lesa,lkoloski,2013-06-06,searcher,2,,lay
,2013,chur,13chur13lesa03w,lesa,jperz,2013-06-15,searcher,4,12,float
,2013,chur,13chur13lesa04d,lesa,lkoloski,2013-06-06,searcher,3,,lay
,2013,chur,13chur13lesa04w,lesa,jperz,2013-06-21,searcher,4,14,float
,2013,chur,13chur13lesa05d,lesa,canderson,2013-06-16,searcher,4,,
,2013,chur,13chur13lesa05w,lesa,jperz,2013-06-23,searcher,4,,hatch
,2013,chur,13chur13lesa06d,lesa,canderson,2013-06-16,searcher,4,,
,2013,chur,13chur13sbdo01d,sbdo,canderson,2013-06-09,searcher,4,,
,2013,chur,13chur13sbdo01w,sbdo,ajohnson,2013-06-09,searcher,4,,
,2013,chur,13chur13sbdo02d,sbdo,lkoloski,2013-06-05,searcher,4,0,float
,2013,chur,13chur13sbdo02w,sbdo,jperz,2013-06-13,searcher,4,12,float
,2013,chur,13chur13sbdo03d,sbdo,canderson,2013-06-16,searcher,4,,
,2013,chur,13chur13sbdo03w,sbdo,jperz,2013-06-13,searcher,4,11,float
