Year,Site,Start,End,Observer
2012,chau,2012-06-20,2012-06-26,jliebezeit
2012,chau,2012-06-15,2012-07-10,gsolovyev
2012,chau,2012-06-15,2012-07-10,vkokhanova
2012,chau,2012-05-15,2012-07-22,mettuvgii
2012,chau,2012-06-06,2012-08-29,gdanilov
2012,chau,2012-05-22,2012-08-29,gpavlukov
2012,chau,2012-05-15,2012-08-29,svartanyan
2012,chur,2012-06-13,2012-06-21,enol
2012,chur,2012-06-18,2012-06-28,fsanders
2012,chur,2012-06-10,2012-06-29,mjones
2012,chur,2012-06-01,2012-06-21,acorkery
2012,chur,2012-06-01,2012-06-21,lmckinnon
2012,chur,2012-06-19,2012-07-25,dgough
2012,chur,2012-06-13,2012-08-06,clahoda
2012,chur,2012-06-13,2012-08-06,cbrunner
2012,chur,2012-06-01,2012-07-25,ajohnson
2012,chur,2012-06-01,2012-07-25,jperz
2012,colv,2012-05-23,2012-06-03,jhupp
2012,colv,2012-06-21,2012-08-07,msmith
2012,colv,2012-06-10,2012-08-10,vbaranyuk
2012,colv,2012-06-01,2012-08-05,dward
2012,colv,2012-06-01,2012-08-05,jkorol
2012,colv,2012-05-18,2012-07-27,dpavlik
2012,colv,2012-05-23,2012-08-05,bwilkinson
2012,colv,2012-05-18,2012-08-12,khogrefe
2012,colv,2012-05-18,2012-08-12,tdonnelly
2012,eaba,2012-06-17,2012-06-30,psmith
2012,eaba,2012-06-10,2012-06-29,mjones
2012,eaba,2012-06-01,2012-06-30,ggilchrist
2012,eaba,2012-06-01,2012-07-27,akatalukprimeau
2012,eaba,2012-06-01,2012-07-27,kaward
2012,eaba,2012-06-01,2012-07-27,mmccloskey
2012,eaba,2012-06-01,2012-07-27,nmanintveld
2012,lkri,2012-06-17,2012-07-18,apopovkina
2012,lkri,2012-06-17,2012-07-18,gsedash
2012,made,2012-06-29,2012-07-10,lpirie
2012,made,2012-06-01,2012-06-13,lpirie
2012,made,2012-06-01,2012-06-28,jpanipak
2012,made,2012-06-01,2012-07-10,asmith
2012,made,2012-06-01,2012-07-10,fsmith
2012,made,2012-06-01,2012-07-10,kbeckmann
2012,nome,2012-05-19,2012-05-25,aguerra
2012,nome,2012-05-19,2012-06-04,bsandercock
2012,nome,2012-05-12,2012-07-16,mharing
2012,nome,2012-05-12,2012-07-25,dhodkinson
2012,nome,2012-05-12,2012-07-25,sfranks
2012,prba,2012-06-02,2012-07-21,cpham
2012,prba,2012-06-02,2012-07-21,jlautenbach
2012,prba,2012-06-02,2012-07-21,jwebber
2013,barr,2013-06-02,2013-06-06,rlanctot
2013,barr,2013-06-18,2013-06-23,dkesler
2013,barr,2013-06-22,2013-07-03,amould
2013,barr,2013-06-22,2013-07-03,jdanby
2013,barr,2013-06-20,2013-07-05,rlanctot
2013,barr,2013-06-01,2013-07-03,vloverti
2013,barr,2013-06-07,2013-07-13,wenglish
2013,barr,2013-06-03,2013-08-10,bkaselow
2013,barr,2013-06-03,2013-08-10,lrenzel
2013,barr,2013-06-02,2013-08-10,fstetler
2013,barr,2013-05-23,2013-08-01,jcunningham
2013,barr,2013-05-23,2013-08-01,pherzog
2013,barr,2013-05-24,2013-08-10,kgrond
2013,burn,2013-06-22,2013-07-03,dedwards
2013,burn,2013-06-22,2013-07-03,estroud
2013,burn,2013-06-22,2013-07-03,zharris
2013,burn,2013-06-09,2013-06-22,kabraham
2013,burn,2013-06-09,2013-06-22,mpeck
2013,burn,2013-06-09,2013-06-22,nkirby
2013,burn,2013-06-09,2013-06-22,shart
2013,burn,2013-06-08,2013-06-22,kbennett
2013,burn,2013-06-05,2013-06-22,mburrell
2013,burn,2013-06-05,2013-07-03,jcaville
2013,burn,2013-06-05,2013-07-03,jbelliveau
2013,bylo,2013-07-04,2013-07-14,ereed
2013,bylo,2013-06-26,2013-07-14,jbety
2013,cakr,2013-06-14,2013-06-28,tfarrugia
2013,cakr,2013-05-24,2013-06-28,rhunnewell
2013,cakr,2013-05-24,2013-07-10,jkardiak
2013,cakr,2013-05-24,2013-07-11,fylin
2013,cakr,2013-05-24,2013-07-11,mboldenow
2013,cari,2013-06-03,2013-07-21,sfreeman
2013,cari,2013-06-02,2013-06-15,abradley
2013,cari,2013-06-11,2013-06-26,rchurchwell
2013,cari,2013-06-02,2013-07-15,idavies
2013,cari,2013-06-02,2013-07-18,bhiggins
2013,cari,2013-06-02,2013-07-21,hhelling
2013,cari,2013-06-02,2013-07-21,sfreeman
2013,chau,2013-06-06,2013-07-09,aunknown
2013,chau,2013-06-06,2013-07-09,kpietrzak
2013,chau,2013-06-06,2013-07-09,mmudge
2013,chur,2013-06-17,2013-06-25,enol
2013,chur,2013-06-03,2013-06-21,ajohnson
2013,chur,2013-06-13,2013-07-04,fsanders
2013,chur,2013-07-04,2013-07-26,rhildebrandt
2013,chur,2013-06-12,2013-07-12,dturner
2013,chur,2013-05-31,2013-07-19,lkoloski
2013,chur,2013-06-10,2013-07-29,dgough
2013,chur,2013-05-31,2013-07-20,mheung
2013,chur,2013-05-31,2013-08-02,canderson
2013,chur,2013-05-31,2013-08-03,jperz
2013,chur,2013-05-31,2013-08-08,cbrunner
2013,colv,2013-06-18,2013-07-12,dward
2013,colv,2013-07-06,2013-08-04,jhixon
2013,colv,2013-05-30,2013-07-12,bwilkinson
2013,colv,2013-05-30,2013-08-04,epero
2013,colv,2013-05-30,2013-08-04,rharned
2013,colv,2013-05-30,2013-08-04,scarvey
2013,colv,2013-05-16,2013-08-07,khogrefe
2013,colv,2013-05-16,2013-08-07,tdonnelly
2013,eaba,2013-06-17,2013-06-27,psmith
2013,eaba,2013-06-16,2013-07-25,lpollock
2013,eaba,2013-06-04,2013-07-25,akatalukprimeau
2013,eaba,2013-06-04,2013-07-25,egirard
2013,eaba,2013-06-04,2013-07-25,sjeswiet
2013,iglo,2013-06-23,2013-06-25,nboulangerlapointe
2013,iglo,2013-08-29,2013-08-31,gszor
2013,iglo,2013-06-24,2013-07-05,mqrunnut
2013,iglo,2013-06-15,2013-07-28,magiroux
2013,ikpi,2013-06-09,2013-06-18,jliebezeit
2013,ikpi,2013-06-10,2013-06-29,mjones
2013,ikpi,2013-06-04,2013-07-18,ojames
2013,ikpi,2013-06-04,2013-07-19,anicolecook
2013,ikpi,2013-06-04,2013-07-19,epayne
2013,lkri,2013-06-20,2013-07-24,apopovkina
2013,lkri,2013-06-20,2013-07-24,jloshchagina
2013,made,2013-06-06,2013-06-30,gmccune
2013,made,2013-06-06,2013-07-12,abuckley
2013,made,2013-06-06,2013-07-12,fsmith
2013,made,2013-06-06,2013-07-12,kbeckmann
2013,made,2013-06-06,2013-07-12,lbachellier
2013,nome,2013-06-06,2013-06-07,wenglish
2013,nome,2013-05-12,2013-06-13,sfranks
2013,nome,2013-05-12,2013-07-17,dborden
2013,nome,2013-05-12,2013-07-17,ekwon
2013,nome,2013-05-12,2013-07-17,triecke
2013,prba,2013-06-03,2013-07-22,brobinson2
2013,prba,2013-06-03,2013-07-22,cdavis
2014,barr,2014-06-23,2014-06-26,dkesler
2014,barr,2014-05-30,2014-06-05,rlanctot
2014,barr,2014-07-05,2014-07-14,dhodkinson
2014,barr,2014-07-05,2014-07-14,ekwon
2014,barr,2014-06-29,2014-07-12,kkalasz
2014,barr,2014-06-09,2014-06-24,vloverti
2014,barr,2014-07-05,2014-07-20,ssaalfeld
2014,barr,2014-06-20,2014-07-08,rlanctot
2014,barr,2014-06-01,2014-06-23,tdoyle
2014,barr,2014-07-14,2014-08-08,mballvanzee
2014,barr,2014-06-02,2014-07-02,asterling
2014,barr,2014-05-17,2014-07-02,kgrond
2014,barr,2014-06-02,2014-08-10,jmarin
2014,barr,2014-05-15,2014-07-31,mallen
2014,barr,2014-05-15,2014-08-08,ssheedy
2014,barr,2014-05-15,2014-08-10,jcunningham
2014,barr,2014-05-15,2014-08-10,wenglish
2014,burn,2014-06-24,2014-06-30,sbennett
2014,burn,2014-06-24,2014-06-30,mgibson
2014,burn,2014-06-10,2014-06-24,mpeck
2014,burn,2014-06-10,2014-06-24,gracey
2014,burn,2014-06-10,2014-06-24,bdalziel
2014,burn,2014-06-10,2014-06-30,kbennett
2014,burn,2014-06-10,2014-06-30,lpollock
2014,burn,2014-06-10,2014-06-30,dmcrae
2014,burn,2014-06-10,2014-06-30,mevers
2014,burn,2014-06-10,2014-06-30,rnakoochee
2014,bylo,2014-06-26,2014-07-06,ereed
2014,bylo,2014-06-26,2014-07-15,jbety
2014,bylo,2014-06-21,2014-07-20,proyerboutin
2014,bylo,2014-06-08,2014-08-04,jflamarre
2014,bylo,2014-06-08,2014-08-04,fsenezgagnon
2014,bylo,2014-06-08,2014-08-10,djleandry
2014,cakr,2014-05-21,2014-07-07,mboldenow
2014,cakr,2014-05-21,2014-07-07,mmcconnell
2014,cakr,2014-05-21,2014-07-07,jeschenroeder
2014,cakr,2014-05-21,2014-07-07,jhughey
2014,cari,2014-06-23,2014-07-10,mcorrell
2014,cari,2014-06-03,2014-06-23,cmontgomerie
2014,cari,2014-06-03,2014-07-16,bhiggins
2014,cari,2014-06-03,2014-07-16,emagnuson
2014,cari,2014-06-03,2014-07-21,idavies
2014,chau,2014-06-10,2014-07-08,jdiener
2014,chau,2014-06-10,2014-07-08,lgoodrick
2014,chau,2014-06-10,2014-07-08,amatsyna
2014,chau,2014-06-10,2014-07-08,kmatsyna
2014,chur,2014-06-06,2014-06-11,lmckinnon
2014,chur,2014-05-29,2014-06-04,enol
2014,chur,2014-06-16,2014-07-02,fsanders
2014,chur,2014-06-02,2014-07-10,jperz
2014,chur,2014-06-02,2014-07-12,cmurchison
2014,chur,2014-06-12,2014-08-07,tmankis
2014,chur,2014-05-29,2014-07-27,lkoloski
2014,chur,2014-05-30,2014-07-30,gholmes
2014,chur,2014-06-06,2014-08-07,codwyer
2014,chur,2014-06-05,2014-08-08,jrobinson
2014,chur,2014-05-29,2014-08-08,nmacdonald
2014,coat,2014-06-14,2014-06-28,bwinn
2014,coat,2014-06-14,2014-06-28,sschulte
2014,coat,2014-06-06,2014-07-24,sflemming
2014,coat,2014-06-06,2014-07-24,kreischke
2014,coat,2014-06-06,2014-07-24,sneima
2014,colv,2014-06-10,2014-06-29,mjones
2014,colv,2014-06-20,2014-07-12,dward
2014,colv,2014-05-23,2014-07-02,jhupp
2014,colv,2014-05-24,2014-08-04,wkennerley
2014,colv,2014-05-24,2014-08-04,lburlingame
2014,colv,2014-05-24,2014-08-04,agottesman
2014,colv,2014-05-24,2014-08-12,tdonnelly
2014,colv,2014-05-24,2014-08-12,khogrefe
2014,iglo,2014-07-24,2014-07-25,aissisgaitok
2014,iglo,2014-07-24,2014-07-25,dattagutaluk
2014,iglo,2014-07-10,2014-07-25,mqrunnut
2014,iglo,2014-06-23,2014-07-25,ataqtaq
2014,iglo,2014-06-01,2014-07-27,mtrottierpaquet
2014,iglo,2014-06-01,2014-08-01,mcfrenette
2014,iglo,2014-06-01,2014-08-02,nlecomte
2014,iglo,2014-06-01,2014-08-02,magiroux
2014,ikpi,2014-06-03,2014-07-21,pchilton
2014,ikpi,2014-06-03,2014-07-21,mdodds
2014,ikpi,2014-06-03,2014-07-21,rhammond
2014,made,2014-06-04,2014-07-14,pwoodard
2014,made,2014-06-04,2014-07-14,fsmith
2014,made,2014-06-04,2014-07-14,canderson
2014,made,2014-06-04,2014-07-14,tkydd
2014,made,2014-06-04,2014-07-14,lbachellier
2014,nome,2014-05-24,2014-06-05,eweiser
2014,nome,2014-05-24,2014-06-13,sfranks
2014,nome,2014-05-16,2014-07-05,ekwon
2014,nome,2014-05-14,2014-07-05,dhodkinson
2014,prba,2014-06-10,2014-06-29,mjones
